idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 71 173 71 173 0.000000 0.000000
1 0.020000000 71 173 69 175 -2.000000 2.000000
2 0.030000000 69 175 68 169 -1.000000 -6.000000
3 0.040000000 68 169 153 134 85.000000 -35.000000
4 0.050000000 153 134 73 178 -80.000000 44.000000
5 0.060000000 73 178 152 135 79.000000 -43.000000
6 0.070000000 152 135 72 181 -80.000000 46.000000
7 0.080000000 72 181 69 181 -3.000000 0.000000
8 0.090000000 69 181 151 137 82.000000 -44.000000
9 0.100000000 151 137 68 178 -83.000000 41.000000
10 0.110000000 68 178 66 182 -2.000000 4.000000
11 0.120000000 66 182 144 172 78.000000 -10.000000
12 0.130000000 144 172 61 174 -83.000000 2.000000
13 0.140000000 61 174 60 177 -1.000000 3.000000
14 0.150000000 60 177 138 172 78.000000 -5.000000
15 0.160000000 138 172 56 181 -82.000000 9.000000
16 0.170000000 56 181 57 178 1.000000 -3.000000
17 0.180000000 57 178 60 177 3.000000 -1.000000
18 0.190000000 60 177 89 194 29.000000 17.000000
19 0.200000000 89 194 92 118 3.000000 -76.000000
20 0.210000000 92 118 138 135 46.000000 17.000000
21 0.220000000 138 135 137 136 -1.000000 1.000000
22 0.230000000 137 136 61 184 -76.000000 48.000000
23 0.240000000 61 184 135 175 74.000000 -9.000000
24 0.250000000 135 175 52 185 -83.000000 10.000000
25 0.260000000 52 185 51 175 -1.000000 -10.000000
26 0.270000000 51 175 52 176 1.000000 1.000000
27 0.280000000 52 176 54 184 2.000000 8.000000
28 0.290000000 54 184 56 183 2.000000 -1.000000
29 0.300000000 56 183 28 88 -28.000000 -95.000000
30 0.310000000 28 88 134 173 106.000000 85.000000
31 0.320000000 134 173 52 173 -82.000000 0.000000
32 0.330000000 52 173 26 99 -26.000000 -74.000000
33 0.340000000 26 99 27 98 1.000000 -1.000000
34 0.350000000 27 98 54 173 27.000000 75.000000
35 0.360000000 54 173 56 180 2.000000 7.000000
36 0.370000000 56 180 137 135 81.000000 -45.000000
37 0.380000000 137 135 135 133 -2.000000 -2.000000
38 0.390000000 135 133 76 111 -59.000000 -22.000000
39 0.400000000 76 111 52 171 -24.000000 60.000000
40 0.410000000 52 171 134 135 82.000000 -36.000000
41 0.420000000 134 135 52 174 -82.000000 39.000000
42 0.430000000 52 174 134 135 82.000000 -39.000000
43 0.440000000 134 135 49 140 -85.000000 5.000000
44 0.450000000 49 140 53 169 4.000000 29.000000
45 0.460000000 53 169 55 176 2.000000 7.000000
46 0.470000000 55 176 51 166 -4.000000 -10.000000
47 0.480000000 51 166 19 83 -32.000000 -83.000000
48 0.490000000 19 83 127 162 108.000000 79.000000
49 0.500000000 127 162 124 126 -3.000000 -36.000000
50 0.510000000 124 126 73 169 -51.000000 43.000000
