idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 70 170 70 170 0.000000 0.000000
1 0.020000000 70 170 88 107 18.000000 -63.000000
2 0.030000000 88 107 161 97 73.000000 -10.000000
3 0.040000000 161 97 176 86 15.000000 -11.000000
4 0.050000000 176 86 73 178 -103.000000 92.000000
5 0.060000000 73 178 71 178 -2.000000 0.000000
6 0.070000000 71 178 71 180 0.000000 2.000000
7 0.080000000 71 180 67 176 -4.000000 -4.000000
8 0.090000000 67 176 149 138 82.000000 -38.000000
9 0.100000000 149 138 70 179 -79.000000 41.000000
10 0.110000000 70 179 147 138 77.000000 -41.000000
11 0.120000000 147 138 52 85 -95.000000 -53.000000
12 0.130000000 52 85 63 182 11.000000 97.000000
13 0.140000000 63 182 63 110 0.000000 -72.000000
14 0.150000000 63 110 139 170 76.000000 60.000000
15 0.160000000 139 170 28 99 -111.000000 -71.000000
16 0.170000000 28 99 57 177 29.000000 78.000000
17 0.180000000 57 177 58 173 1.000000 -4.000000
18 0.190000000 58 173 57 143 -1.000000 -30.000000
19 0.200000000 57 143 96 118 39.000000 -25.000000
20 0.210000000 96 118 66 85 -30.000000 -33.000000
21 0.220000000 66 85 75 111 9.000000 26.000000
22 0.230000000 75 111 61 183 -14.000000 72.000000
23 0.240000000 61 183 175 121 114.000000 -62.000000
24 0.250000000 175 121 53 184 -122.000000 63.000000
25 0.260000000 53 184 51 175 -2.000000 -9.000000
26 0.270000000 51 175 83 201 32.000000 26.000000
27 0.280000000 83 201 97 189 14.000000 -12.000000
28 0.290000000 97 189 56 181 -41.000000 -8.000000
29 0.300000000 56 181 137 138 81.000000 -43.000000
30 0.310000000 137 138 133 173 -4.000000 35.000000
31 0.320000000 133 173 159 158 26.000000 -15.000000
32 0.330000000 159 158 27 98 -132.000000 -60.000000
33 0.340000000 27 98 89 159 62.000000 61.000000
34 0.350000000 89 159 54 174 -35.000000 15.000000
35 0.360000000 54 174 151 150 97.000000 -24.000000
36 0.370000000 151 150 137 136 -14.000000 -14.000000
37 0.380000000 137 136 161 154 24.000000 18.000000
38 0.390000000 161 154 98 178 -63.000000 24.000000
39 0.400000000 98 178 86 158 -12.000000 -20.000000
40 0.410000000 86 158 134 136 48.000000 -22.000000
41 0.420000000 134 136 53 168 -81.000000 32.000000
42 0.430000000 53 168 159 154 106.000000 -14.000000
43 0.440000000 159 154 49 140 -110.000000 -14.000000
44 0.450000000 49 140 68 167 19.000000 27.000000
45 0.460000000 68 167 56 177 -12.000000 10.000000
46 0.470000000 56 177 51 164 -5.000000 -13.000000
47 0.480000000 51 164 142 95 91.000000 -69.000000
48 0.490000000 142 95 126 159 -16.000000 64.000000
49 0.500000000 126 159 42 170 -84.000000 11.000000
50 0.510000000 42 170 73 169 31.000000 -1.000000
