idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 72 174 72 174 0.000000 0.000000
1 0.020000000 72 174 69 175 -3.000000 1.000000
2 0.030000000 69 175 151 170 82.000000 -5.000000
3 0.040000000 151 170 152 134 1.000000 -36.000000
4 0.050000000 152 134 73 178 -79.000000 44.000000
5 0.060000000 73 178 153 136 80.000000 -42.000000
6 0.070000000 153 136 72 181 -81.000000 45.000000
7 0.080000000 72 181 150 138 78.000000 -43.000000
8 0.090000000 150 138 69 178 -81.000000 40.000000
9 0.100000000 69 178 68 178 -1.000000 0.000000
10 0.110000000 68 178 67 182 -1.000000 4.000000
11 0.120000000 67 182 144 171 77.000000 -11.000000
12 0.130000000 144 171 61 174 -83.000000 3.000000
13 0.140000000 61 174 60 177 -1.000000 3.000000
14 0.150000000 60 177 138 173 78.000000 -4.000000
15 0.160000000 138 173 75 112 -63.000000 -61.000000
16 0.170000000 75 112 58 178 -17.000000 66.000000
17 0.180000000 58 178 61 178 3.000000 0.000000
18 0.190000000 61 178 57 143 -4.000000 -35.000000
19 0.200000000 57 143 56 169 -1.000000 26.000000
20 0.210000000 56 169 138 135 82.000000 -34.000000
21 0.220000000 138 135 55 178 -83.000000 43.000000
22 0.230000000 55 178 61 184 6.000000 6.000000
23 0.240000000 61 184 78 95 17.000000 -89.000000
24 0.250000000 78 95 52 185 -26.000000 90.000000
25 0.260000000 52 185 51 175 -1.000000 -10.000000
26 0.270000000 51 175 52 176 1.000000 1.000000
27 0.280000000 52 176 54 185 2.000000 9.000000
28 0.290000000 54 185 55 180 1.000000 -5.000000
29 0.300000000 55 180 28 88 -27.000000 -92.000000
30 0.310000000 28 88 134 172 106.000000 84.000000
31 0.320000000 134 172 52 173 -82.000000 1.000000
32 0.330000000 52 173 56 181 4.000000 8.000000
33 0.340000000 56 181 28 98 -28.000000 -83.000000
34 0.350000000 28 98 54 173 26.000000 75.000000
35 0.360000000 54 173 57 181 3.000000 8.000000
36 0.370000000 57 181 137 135 80.000000 -46.000000
37 0.380000000 137 135 135 133 -2.000000 -2.000000
38 0.390000000 135 133 75 111 -60.000000 -22.000000
39 0.400000000 75 111 51 170 -24.000000 59.000000
40 0.410000000 51 170 134 136 83.000000 -34.000000
41 0.420000000 134 136 52 174 -82.000000 38.000000
42 0.430000000 52 174 134 134 82.000000 -40.000000
43 0.440000000 134 134 49 140 -85.000000 6.000000
44 0.450000000 49 140 53 169 4.000000 29.000000
45 0.460000000 53 169 55 175 2.000000 6.000000
46 0.470000000 55 175 52 165 -3.000000 -10.000000
47 0.480000000 52 165 142 96 90.000000 -69.000000
48 0.490000000 142 96 127 163 -15.000000 67.000000
49 0.500000000 127 163 124 127 -3.000000 -36.000000
50 0.510000000 124 127 73 169 -51.000000 42.000000
