idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 72 174 72 174 0.000000 0.000000
1 0.020000000 72 174 69 174 -3.000000 0.000000
2 0.030000000 69 174 68 172 -1.000000 -2.000000
3 0.040000000 68 172 42 89 -26.000000 -83.000000
4 0.050000000 42 89 73 177 31.000000 88.000000
5 0.060000000 73 177 152 137 79.000000 -40.000000
6 0.070000000 152 137 72 181 -80.000000 44.000000
7 0.080000000 72 181 149 138 77.000000 -43.000000
8 0.090000000 149 138 69 178 -80.000000 40.000000
9 0.100000000 69 178 68 177 -1.000000 -1.000000
10 0.110000000 68 177 66 182 -2.000000 5.000000
11 0.120000000 66 182 143 171 77.000000 -11.000000
12 0.130000000 143 171 61 173 -82.000000 2.000000
13 0.140000000 61 173 60 178 -1.000000 5.000000
14 0.150000000 60 178 57 181 -3.000000 3.000000
15 0.160000000 57 181 120 106 63.000000 -75.000000
16 0.170000000 120 106 58 178 -62.000000 72.000000
17 0.180000000 58 178 61 178 3.000000 0.000000
18 0.190000000 61 178 57 142 -4.000000 -36.000000
19 0.200000000 57 142 57 168 0.000000 26.000000
20 0.210000000 57 168 137 136 80.000000 -32.000000
21 0.220000000 137 136 55 179 -82.000000 43.000000
22 0.230000000 55 179 60 184 5.000000 5.000000
23 0.240000000 60 184 74 94 14.000000 -90.000000
24 0.250000000 74 94 52 184 -22.000000 90.000000
25 0.260000000 52 184 135 175 83.000000 -9.000000
26 0.270000000 135 175 52 176 -83.000000 1.000000
27 0.280000000 52 176 55 185 3.000000 9.000000
28 0.290000000 55 185 55 177 0.000000 -8.000000
29 0.300000000 55 177 28 88 -27.000000 -89.000000
30 0.310000000 28 88 133 172 105.000000 84.000000
31 0.320000000 133 172 52 173 -81.000000 1.000000
32 0.330000000 52 173 57 181 5.000000 8.000000
33 0.340000000 57 181 74 112 17.000000 -69.000000
34 0.350000000 74 112 54 171 -20.000000 59.000000
35 0.360000000 54 171 58 181 4.000000 10.000000
36 0.370000000 58 181 136 136 78.000000 -45.000000
37 0.380000000 136 136 134 133 -2.000000 -3.000000
38 0.390000000 134 133 76 111 -58.000000 -22.000000
39 0.400000000 76 111 53 106 -23.000000 -5.000000
40 0.410000000 53 106 134 136 81.000000 30.000000
41 0.420000000 134 136 52 174 -82.000000 38.000000
42 0.430000000 52 174 133 134 81.000000 -40.000000
43 0.440000000 133 134 50 140 -83.000000 6.000000
44 0.450000000 50 140 54 168 4.000000 28.000000
45 0.460000000 54 168 27 95 -27.000000 -73.000000
46 0.470000000 27 95 51 165 24.000000 70.000000
47 0.480000000 51 165 130 163 79.000000 -2.000000
48 0.490000000 130 163 127 163 -3.000000 0.000000
49 0.500000000 127 163 124 127 -3.000000 -36.000000
50 0.510000000 124 127 73 169 -51.000000 42.000000
